row_type,scope,artifact,aggregation,window_s,selected_k,cluster_id,rows,features_total,cluster_size,cluster_frac,silhouette_score,davies_bouldin_score,calinski_harabasz_score,largest_cluster_size,largest_cluster_frac,attack_rate_global,attack_count,attack_rate,attack_lift_vs_global,artifact_count,time_cluster_min,time_cluster_max,status,warnings,best_cluster_attack_rate,best_cluster_attack_lift,method,cut_mode,cut_value,linkage
run,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,,4745,189,,,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,,,,,,,success,,1.0,7.1893939393939394,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,0,4745,189,3799,0.8006322444678609,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,536,0.1410897604632798,1.0143498687852466,,2022-02-04 07:39:00,2022-02-13 08:02:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,1,4745,189,688,0.14499473129610116,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,81,0.11773255813953488,0.8464257399577167,,2022-02-04 07:09:00,2022-02-13 11:17:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,2,4745,189,1,0.00021074815595363542,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,0,0.0,0.0,,2022-02-04 07:05:00,2022-02-04 07:05:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,3,4745,189,3,0.0006322444678609062,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,2,0.6666666666666666,4.792929292929293,,2022-02-06 07:56:00,2022-02-12 00:04:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,4,4745,189,16,0.0033719704952581667,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,6,0.375,2.6960227272727275,,2022-02-04 07:06:00,2022-02-12 19:23:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,5,4745,189,4,0.0008429926238145417,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,1,0.25,1.7973484848484849,,2022-02-04 07:08:00,2022-02-12 01:47:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,6,4745,189,3,0.0006322444678609062,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,0,0.0,0.0,,2022-02-05 01:10:00,2022-02-12 23:16:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,7,4745,189,5,0.001053740779768177,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,0,0.0,0.0,,2022-02-06 07:15:00,2022-02-12 23:39:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,8,4745,189,7,0.0014752370916754477,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,1,0.14285714285714285,1.027056277056277,,2022-02-06 06:57:00,2022-02-12 07:58:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,9,4745,189,1,0.00021074815595363542,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,0,0.0,0.0,,2022-02-12 22:47:00,2022-02-12 22:47:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,10,4745,189,6,0.0012644889357218123,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,1,0.16666666666666666,1.1982323232323233,,2022-02-06 07:34:00,2022-02-12 23:17:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,11,4745,189,8,0.0016859852476290833,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,2,0.25,1.7973484848484849,,2022-02-05 01:18:00,2022-02-12 23:33:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,12,4745,189,1,0.00021074815595363542,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,1,1.0,7.1893939393939394,,2022-02-11 22:54:00,2022-02-11 22:54:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,13,4745,189,140,0.029504741833508957,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,19,0.1357142857142857,0.9757034632034631,,2022-02-04 07:11:00,2022-02-12 23:38:00,success,,,,agglomerative,k,15,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,14,4745,189,63,0.013277133825079031,0.5872713247255978,1.4916086087929727,275.38297806422156,3799,0.8006322444678609,0.13909378292939936,10,0.15873015873015872,1.141173641173641,,2022-02-04 07:12:00,2022-02-12 23:30:00,success,,,,agglomerative,k,15,ward
