row_type,scope,artifact,aggregation,window_s,selected_k,cluster_id,rows,features_total,cluster_size,cluster_frac,silhouette_score,davies_bouldin_score,calinski_harabasz_score,largest_cluster_size,largest_cluster_frac,attack_rate_global,attack_count,attack_rate,attack_lift_vs_global,artifact_count,time_cluster_min,time_cluster_max,status,warnings,best_cluster_attack_rate,best_cluster_attack_lift,n_clusters,method,linkage
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,12,8,4745,201,9,0.0018967334035827187,0.4897831871432165,1.189177584631421,579.347461100674,3464,0.7300316122233931,0.13909378292939936,3,0.3333333333333333,2.3964646464646466,,2022-02-05 01:18:00,2022-02-12 23:33:00,success,,,,12,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,12,9,4745,201,1,0.00021074815595363542,0.4897831871432165,1.189177584631421,579.347461100674,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-12 22:47:00,2022-02-12 22:47:00,success,,,,12,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,12,10,4745,201,5,0.001053740779768177,0.4897831871432165,1.189177584631421,579.347461100674,3464,0.7300316122233931,0.13909378292939936,4,0.8,5.751515151515152,,2022-02-06 07:56:00,2022-02-12 00:04:00,success,,,,12,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,12,11,4745,201,1,0.00021074815595363542,0.4897831871432165,1.189177584631421,579.347461100674,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-04 07:05:00,2022-02-04 07:05:00,success,,,,12,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,0,4745,201,163,0.03435194942044257,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,22,0.13496932515337423,0.9703476482617587,,2022-02-04 07:11:00,2022-02-12 23:37:00,success,,,,13,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,1,4745,201,4,0.0008429926238145417,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,1,0.25,1.7973484848484849,,2022-02-04 07:08:00,2022-02-12 01:47:00,success,,,,13,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,2,4745,201,3464,0.7300316122233931,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,490,0.14145496535796767,1.0169754706417524,,2022-02-04 07:39:00,2022-02-13 08:02:00,success,,,,13,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,3,4745,201,15,0.003161222339304531,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,4,0.26666666666666666,1.9171717171717173,,2022-02-04 07:06:00,2022-02-12 19:23:00,success,,,,13,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,4,4745,201,55,0.011591148577449948,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,6,0.10909090909090909,0.784297520661157,,2022-02-04 07:15:00,2022-02-12 23:38:00,success,,,,13,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,13,5,4745,201,3,0.0006322444678609062,0.49056318796353604,1.1417840834900574,587.3531583507356,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-05 01:10:00,2022-02-12 23:16:00,success,,,,13,agglomerative,ward
