row_type,scope,artifact,aggregation,window_s,selected_k,cluster_id,rows,features_total,cluster_size,cluster_frac,silhouette_score,davies_bouldin_score,calinski_harabasz_score,largest_cluster_size,largest_cluster_frac,attack_rate_global,attack_count,attack_rate,attack_lift_vs_global,artifact_count,time_cluster_min,time_cluster_max,status,warnings,best_cluster_attack_rate,best_cluster_attack_lift,method,cut_mode,cut_value,linkage
run,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,2,,4745,201,,,0.8708074292274657,1.682942903618317,850.8433827988637,4646,0.9791359325605901,0.13909378292939936,,,,,,,success,,0.1919191919191919,1.3797826752372206,agglomerative,distance,352.37977044957927,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,2,0,4745,201,4646,0.9791359325605901,0.8708074292274657,1.682942903618317,850.8433827988637,4646,0.9791359325605901,0.13909378292939936,641,0.13796814464055102,0.9919073429082039,,2022-02-04 07:09:00,2022-02-13 11:17:00,success,,,,agglomerative,distance,352.37977044957927,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,2,1,4745,201,99,0.020864067439409904,0.8708074292274657,1.682942903618317,850.8433827988637,4646,0.9791359325605901,0.13909378292939936,19,0.1919191919191919,1.3797826752372206,,2022-02-04 07:05:00,2022-02-12 23:39:00,success,,,,agglomerative,distance,352.37977044957927,ward
